대상연월,요일,time,출발 행정동 코드,도착 행정동 코드,성별,이동인구(합),adm_nm_x,start_point,adm_nm_y,end_point,normalized_이동인구
202204,토,점심,1125053,1125074,F,734.63,서울특별시 강동구 명일1동,"[127.14405602135712, 37.549287881954406]",서울특별시 강동구 길동,"[127.14480510043676, 37.53958535837264]",0.02721292298049721
202204,토,점심,1112051,1112058,F,733.15,서울특별시 은평구 녹번동,"[126.93942748309685, 37.605814909538026]",서울특별시 은평구 대조동,"[126.9245559851894, 37.6126108578407]",0.027158099292366948
202204,토,점심,1103063,1103069,F,731.61,서울특별시 용산구 이촌1동,"[126.97126180434695, 37.51918337035961]",서울특별시 용산구 서빙고동,"[126.98900825948841, 37.52233793685189]",0.027101053022285458
202204,토,점심,1122066,1123066,F,731.59,서울특별시 서초구 양재1동,"[127.02565624932309, 37.47257678112422]",서울특별시 강남구 도곡1동,"[127.04398112301496, 37.48762669344546]",0.02710031216163505
202204,토,점심,1124082,1124069,F,730.36,서울특별시 송파구 위례동,"[127.14189974578679, 37.48289078037338]",서울특별시 송파구 문정2동,"[127.11938713838867, 37.47750452934264]",0.027054749231634898
202204,토,점심,1121072,1118051,F,728.31,서울특별시 관악구 조원동,"[126.90756070508807, 37.48347993007314]",서울특별시 금천구 가산동,"[126.88545529879944, 37.47771922853849]",0.026978811014967977
202204,토,점심,1111078,1111077,F,726.36,서울특별시 노원구 중계2·3동,"[127.06399692560804, 37.64450536882155]",서울특별시 노원구 상계6·7동,"[127.05997575249279, 37.64843504719793]",0.026906577101553104
202204,토,점심,1113072,1114066,F,725.47,서울특별시 서대문구 북가좌2동,"[126.91513615139891, 37.581780942552605]",서울특별시 마포구 서교동,"[126.92056224341965, 37.554231410096335]",0.026873608802609902
202204,토,점심,1106071,1106089,F,720.55,서울특별시 동대문구 회기동,"[127.05109555633642, 37.59523079080109]",서울특별시 동대문구 이문1동,"[127.06010591128903, 37.59625419728463]",0.026691357082609293
202204,토,점심,1125066,1125074,F,719.83,서울특별시 강동구 성내2동,"[127.1275215687028, 37.53367422625407]",서울특별시 강동구 길동,"[127.14480510043676, 37.53958535837264]",0.026664686099194573
202204,토,점심,1122052,1122054,F,717.83,서울특별시 서초구 서초2동,"[127.03018034456811, 37.485111515306755]",서울특별시 서초구 서초4동,"[127.01811249295136, 37.498481381745535]",0.026590600034153675
202204,토,점심,1123053,1123052,F,716.56,서울특별시 강남구 논현2동,"[127.0346662313185, 37.517108370661724]",서울특별시 강남구 논현1동,"[127.02745939058589, 37.513855035233846]",0.026543555382852704
202204,토,점심,1120063,1120063,F,714.66,서울특별시 동작구 사당1동,"[126.97590034698653, 37.478638214507754]",서울특별시 동작구 사당1동,"[126.97590034698653, 37.478638214507754]",0.026473173621063852
202204,토,점심,1119076,1119054,F,713.84,서울특별시 영등포구 문래동,"[126.89550370534583, 37.51596092928477]",서울특별시 영등포구 여의동,"[126.92512005925903, 37.52669811644704]",0.026442798334397086
202204,토,점심,1114068,1114069,F,713.73,서울특별시 마포구 합정동,"[126.91173015368167, 37.547809277206945]",서울특별시 마포구 망원1동,"[126.90174926359754, 37.553704969383375]",0.026438723600819836
202204,토,점심,1123051,1122055,F,712.71,서울특별시 강남구 신사동,"[127.02261228179378, 37.52608291359223]",서울특별시 서초구 잠원동,"[127.0121972411564, 37.51647808804724]",0.02640093970764898
202204,토,점심,1123067,1123060,F,712.17,서울특별시 강남구 도곡2동,"[127.04887170162499, 37.48711469949217]",서울특별시 강남구 대치1동,"[127.05767185328078, 37.49217000798384]",0.026380936470087935
202204,토,점심,1123077,1123058,F,711.56,서울특별시 강남구 압구정동,"[127.03314668642571, 37.52783236839773]",서울특별시 강남구 삼성1동,"[127.05928361883572, 37.516707116019525]",0.02635834022025046
202204,토,점심,1121064,1121064,F,709.67,서울특별시 관악구 서원동,"[126.93593308177424, 37.48071252296345]",서울특별시 관악구 서원동,"[126.93593308177424, 37.48071252296345]",0.02628832888878681
202204,토,점심,1119061,1119074,F,707.3,서울특별시 영등포구 양평1동,"[126.88676353205311, 37.52500490051449]",서울특별시 영등포구 영등포동,"[126.90649846911558, 37.52267695422319]",0.02620053690171335
202204,토,점심,1101061,1101063,F,706.9,서울특별시 종로구 종로1·2·3·4가동,"[126.99095460165246, 37.575603142178714]",서울특별시 종로구 종로5·6가동,"[127.0050373801426, 37.57346758551857]",0.02618571968870517
202204,토,점심,1112052,1112071,F,706.17,서울특별시 은평구 불광1동,"[126.93658477356057, 37.618009040591055]",서울특별시 은평구 진관동,"[126.93454402716439, 37.64146154425551]",0.026158678274965243
202204,토,점심,1116073,1116073,F,705.25,서울특별시 강서구 화곡1동,"[126.84335889667103, 37.53403030157497]",서울특별시 강서구 화곡1동,"[126.84335889667103, 37.53403030157497]",0.02612459868504643
202204,토,점심,1123053,1123058,F,704.57,서울특별시 강남구 논현2동,"[127.0346662313185, 37.517108370661724]",서울특별시 강남구 삼성1동,"[127.05928361883572, 37.516707116019525]",0.026099409422932526
202204,토,점심,1124064,1124063,F,703.57,서울특별시 송파구 삼전동,"[127.09511802392005, 37.50110294105246]",서울특별시 송파구 석촌동,"[127.10095401866454, 37.503790066597965]",0.026062366390412078
202204,토,점심,1122067,1123064,F,701.74,서울특별시 서초구 양재2동,"[127.0444567139032, 37.44773534841601]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.025994577640899658
202204,토,점심,1122059,1122059,F,698.96,서울특별시 서초구 반포3동,"[127.00632473925569, 37.51279185198056]",서울특별시 서초구 반포3동,"[127.00632473925569, 37.51279185198056]",0.02589159801049281
202204,토,점심,1123059,1123064,F,697.59,서울특별시 강남구 삼성2동,"[127.04894638539058, 37.51001499280777]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.025840849055939794
202204,토,점심,1122057,1123051,F,693.72,서울특별시 서초구 반포1동,"[127.01471802419195, 37.504467519574966]",서울특별시 강남구 신사동,"[127.02261228179378, 37.52608291359223]",0.025697492520085657
202204,토,점심,1123066,1123067,F,692.89,서울특별시 강남구 도곡1동,"[127.04398112301496, 37.48762669344546]",서울특별시 강남구 도곡2동,"[127.04887170162499, 37.48711469949217]",0.025666746803093686
202204,토,점심,1104067,1104066,F,692.2,서울특별시 성동구 성수2가1동,"[127.05216830585341, 37.53936091325759]",서울특별시 성동구 성수1가2동,"[127.04213692156439, 37.54899210467313]",0.02564118711065458
202204,토,점심,1113073,1113073,F,691.24,서울특별시 서대문구 충현동,"[126.96064504262631, 37.56271872144526]",서울특별시 서대문구 충현동,"[126.96064504262631, 37.56271872144526]",0.025605625799434945
202204,토,점심,1119062,1119074,F,690.83,서울특별시 영등포구 양평2동,"[126.89356198527939, 37.5406499306347]",서울특별시 영등포구 영등포동,"[126.90649846911558, 37.52267695422319]",0.025590438156101562
202204,토,점심,1122051,1123064,F,689.73,서울특별시 서초구 서초1동,"[127.01989686726058, 37.48465893500267]",서울특별시 강남구 역삼1동,"[127.04126078797715, 37.5039870859614]",0.02554969082032907
202204,토,점심,1114077,1114078,F,688.5699999999999,서울특별시 마포구 공덕동,"[126.95889103733177, 37.5502351114788]",서울특별시 마포구 아현동,"[126.9525935625364, 37.552062181503935]",0.025506720902605345
202204,토,점심,1102054,1101061,F,688.47,서울특별시 중구 회현동,"[126.9796964325556, 37.55632681416738]",서울특별시 종로구 종로1·2·3·4가동,"[126.99095460165246, 37.575603142178714]",0.025503016599353303
202204,토,점심,1124065,1124077,F,688.21,서울특별시 송파구 가락본동,"[127.12056029619893, 37.49855009452527]",서울특별시 송파구 잠실6동,"[127.09932914555756, 37.51855996471403]",0.025493385410897986
202204,토,점심,1114070,1114066,F,687.04,서울특별시 마포구 망원2동,"[126.89870337538187, 37.55875780995441]",서울특별시 마포구 서교동,"[126.92056224341965, 37.554231410096335]",0.02545004506284906
202204,토,점심,1113073,1102052,F,686.57,서울특별시 서대문구 충현동,"[126.96064504262631, 37.56271872144526]",서울특별시 중구 소공동,"[126.97509985596237, 37.564659305428215]",0.02543263483756445
202204,토,점심,1123051,1123052,F,685.39,서울특별시 강남구 신사동,"[127.02261228179378, 37.52608291359223]",서울특별시 강남구 논현1동,"[127.02745939058589, 37.513855035233846]",0.02538892405919032
202204,토,점심,1122068,1122067,F,683.9,서울특별시 서초구 내곡동,"[127.0698335189893, 37.45285022724501]",서울특별시 서초구 양재2동,"[127.0444567139032, 37.44773534841601]",0.02533372994073485
202204,토,점심,1114059,1119054,F,683.51,서울특별시 마포구 용강동,"[126.94356639053314, 37.54187426686251]",서울특별시 영등포구 여의동,"[126.92512005925903, 37.52669811644704]",0.025319283158051875
202204,토,점심,1114059,1114059,F,681.47,서울특별시 마포구 용강동,"[126.94356639053314, 37.54187426686251]",서울특별시 마포구 용강동,"[126.94356639053314, 37.54187426686251]",0.025243715371710163
202204,토,점심,1123059,1123077,F,680.26,서울특별시 강남구 삼성2동,"[127.04894638539058, 37.51001499280777]",서울특별시 강남구 압구정동,"[127.03314668642571, 37.52783236839773]",0.025198893302360418
202204,토,점심,1104067,1104065,F,679.79,서울특별시 성동구 성수2가1동,"[127.05216830585341, 37.53936091325759]",서울특별시 성동구 성수1가1동,"[127.04209358222877, 37.542391624555904]",0.025181483077075805
202204,토,점심,1116069,1116071,F,679.38,서울특별시 강서구 공항동,"[126.7954832506458, 37.55527308081834]",서울특별시 강서구 방화2동,"[126.80464166711087, 37.583302630327445]",0.025166295433742422
202204,토,점심,1104066,1104067,F,679.35,서울특별시 성동구 성수1가2동,"[127.04213692156439, 37.54899210467313]",서울특별시 성동구 성수2가1동,"[127.05216830585341, 37.53936091325759]",0.02516518414276681
202204,토,점심,1125074,1125067,F,678.94,서울특별시 강동구 길동,"[127.14480510043676, 37.53958535837264]",서울특별시 강동구 성내3동,"[127.13492958663635, 37.52963299977334]",0.02514999649943343
202204,토,점심,1102058,1102058,F,678.35,서울특별시 중구 장충동,"[127.0018306443787, 37.555157659862104]",서울특별시 중구 장충동,"[127.0018306443787, 37.555157659862104]",0.02512814111024636
202204,토,점심,1102060,1102055,F,676.1800000000001,서울특별시 중구 을지로동,"[126.9965108360412, 37.566119114293336]",서울특별시 중구 명동,"[126.98435562251788, 37.56224364740497]",0.02504775772967699
202204,토,점심,1109072,1109071,F,674.25,서울특별시 강북구 송천동,"[127.02329339195035, 37.61972083759073]",서울특별시 강북구 송중동,"[127.03544325510315, 37.618488348758426]",0.02497626467691252
202204,토,점심,1122053,1122054,F,674.07,서울특별시 서초구 서초3동,"[127.00844957964054, 37.48609541841626]",서울특별시 서초구 서초4동,"[127.01811249295136, 37.498481381745535]",0.02496959693105884
202204,토,점심,1118052,1118057,F,673.83,서울특별시 금천구 독산1동,"[126.89244482683591, 37.463108491785356]",서울특별시 금천구 시흥1동,"[126.90048325389597, 37.45286093427225]",0.024960706603253936
202204,토,점심,1121063,1121063,F,673.24,서울특별시 관악구 남현동,"[126.97558196889804, 37.46463912227078]",서울특별시 관악구 남현동,"[126.97558196889804, 37.46463912227078]",0.02493885121406687
